CBO2002,Scholarity,contract_hours,age,avg_salary,min_salary,gender,employment_time
214105,9,44,26,1175.86,2.15,1,54.9
214105,9,44,36,1266.86,2.32,1,38.9
214105,9,36,26,3270,6,1,3.7
214110,9,44,27,1130.35,2.07,1,33.9
214105,9,44,33,1939.4,3.55,1,17.2
214105,9,44,38,5368.25,9.86,1,32.9
214105,9,44,32,5041.25,9.26,1,26.5
214105,9,44,32,5041.25,9.26,1,41
214105,9,40,56,2593.99,4.76,1,82.9
214110,9,44,28,1181.27,2.15,1,5.9
214120,9,44,33,1253.31,2.29,1,115.9
214105,9,44,30,4697.26,8.63,1,33.7
214105,9,30,53,3270,6,1,0.9
214105,9,44,21,2337.35,4.28,1,21.9
214105,10,44,34,2866.05,5.25,1,3.9
214105,10,44,44,4880.66,8.96,1,31.5
214125,9,44,25,5311.85,9.74,2,8.8
214105,9,36,30,3335.4,6.12,2,4.9
214105,9,44,24,3556.77,6.53,2,20.9
214125,9,44,30,4802.32,8.81,2,79.9
214105,9,22,48,2180,4,2,3.9
214105,9,44,21,800,1.46,2,3.3
214105,9,44,31,3496.04,6.42,2,14.8
214105,9,44,23,1735.78,3.18,2,10.9
214105,9,30,41,3391.64,6.22,2,18.6
214105,9,30,30,3098.16,5.68,2,42.9
214105,9,27,25,3315.41,6.08,2,7.9
214105,9,30,34,3287.8,6.04,2,11.9
214125,9,22,29,2343.99,4.3,2,65.9
214105,9,44,28,678.75,1.24,2,17.9
214110,9,44,27,3407.9,6.24,2,4.9
214125,9,30,25,3678.75,6.75,2,4.9
214105,9,36,29,3270,6,2,3.3
214125,9,44,34,1061.66,1.94,2,25.9
214105,9,20,32,3270.02,6,2,4.7
214105,9,44,31,2250.35,4.12,2,20.1
214105,9,44,25,1911.11,3.5,2,8.1
214105,9,30,35,5015.11,9.21,2,15.9
214110,9,44,49,827.5,1.51,2,16.4
214110,9,44,23,863.2,1.58,2,26.9
214125,9,28,30,1805,3.31,2,32.9
214105,9,44,29,4916.86,9.03,2,40.9
214105,9,44,24,4440.86,8.15,2,14.9
214110,9,36,31,3884.98,7.13,2,12.9
214105,9,36,25,3265,6,2,29.9
214105,9,18,22,1400,2.56,2,4.9
214105,9,44,54,550,1,2,15.5
214125,9,44,25,999.99,1.85,2,11.9
214125,9,44,25,1385.29,2.53,2,11.9
214120,9,6,27,762.64,1.39,2,35.7
214105,9,22,20,600,1.1,2,4.9
214105,9,44,27,966.47,1.77,2,45.4
214105,9,44,26,1883.81,3.45,2,6.3
214105,9,44,27,1960.66,3.59,2,9.9
214105,9,18,27,2000,3.66,2,3.9
214105,9,44,37,5292.59,9.7,2,5.9
214105,9,44,24,1657.11,3.03,2,7.9
214110,9,44,31,1695.5,3.11,2,31.8
214105,9,44,28,1510.9,2.77,2,29.9
214125,9,43,32,887.12,1.62,2,21.9
214105,9,30,31,3136.62,5.76,2,26.9
214105,9,44,48,2157.49,3.95,2,3.1
214105,9,44,33,3203.55,5.88,2,11.6
214110,9,44,45,2345.16,4.29,2,4.9
214105,9,44,21,820,1.5,2,1.9
214110,9,40,28,1800,3.3,2,5.9
214110,9,44,24,884.07,1.62,2,0.9
214110,9,44,27,746.66,1.36,2,12.5
214110,9,44,31,6011.57,11.02,2,8.5
214105,9,44,27,1000,1.83,2,21.9
214125,9,24,26,3065.66,5.62,2,13.9
214105,9,40,33,5003.75,9.17,2,7.9
214105,9,44,30,2290,4.19,2,3.8
214105,9,22,31,3270,6,2,0.8
214105,9,44,28,1784.71,3.26,2,3.3
214125,9,40,28,5017.26,9.21,2,23.5
214130,9,44,35,4936.2,9.06,2,54.9
214130,9,44,22,795,1.45,2,6.9
214105,9,44,29,1756.81,3.22,2,75.9
214125,9,44,39,3270,6,2,1.9
214105,9,44,28,3840,7.04,2,1.3
214105,9,44,29,4505.55,8.26,2,27.9
214105,9,44,29,4896.87,8.99,2,25.9
214105,9,30,27,3342.66,6.13,2,5.9
214105,9,36,30,3363.84,6.18,2,28.9
214105,9,36,29,3363.84,6.18,2,39.9
214105,9,44,56,7593.91,13.95,2,229.9
214105,9,44,52,5196,9.55,2,67.7
214105,9,24,33,3228.65,5.93,2,29.7
214105,9,36,32,3252.4,5.96,2,9.9
214105,9,36,34,4801.85,8.81,2,110.9
214105,9,44,26,3148.66,5.77,2,10.9
214105,9,36,26,3842.31,7.05,2,32.9
214105,9,40,28,3534.02,6.48,2,26.3
214105,9,44,36,5033.75,9.25,2,131.9
214105,9,44,28,4754.09,8.73,2,24.9
214105,9,44,43,4706.03,8.63,2,2.6
214105,9,44,28,4117.42,7.56,2,23.8
214105,9,36,31,3270,6,2,8.9
214115,9,44,51,4906.04,8.99,2,7.9
214115,9,44,56,6485.11,11.89,2,7.9
214115,9,44,28,2272.36,4.16,2,7.9
214125,9,36,27,3780,6.93,2,1.3
214115,9,44,34,2162.43,3.96,2,7.9
214115,9,44,52,2159.01,3.95,2,7.9
214115,9,44,38,2162.43,3.96,2,7.9
214115,9,44,25,2140.34,3.92,2,7.9
214115,9,44,31,6605.24,12.11,2,5.4
214115,9,44,33,6485.11,11.89,2,7.9
214105,9,40,30,4153.69,7.62,2,13.1
214105,9,40,23,2680.25,4.91,2,2.3
214110,9,44,31,2511.73,4.6,2,10.9
214105,9,44,48,4897.5,9,2,262.9
214110,9,44,24,4515.6,8.29,2,33.7
214110,9,44,23,2111.06,3.86,2,7.9
214115,9,40,33,2917.76,5.34,2,8.5
214105,9,44,24,5316.72,9.74,2,9.9
214110,9,44,26,1670.91,3.06,2,51.9
214105,9,22,41,2040.25,3.73,2,9.9
214105,9,36,29,3270,6,2,6.9
214105,9,22,47,3746.48,6.87,2,128
214105,9,18,22,1400,2.56,2,4.9
214110,9,44,29,634.3,1.16,2,44.6
214110,9,44,47,728.61,1.33,2,20.9
214105,9,44,29,2666.66,4.89,2,8.6
214105,9,41,24,775,1.41,2,11.9
214105,9,41,32,5186.75,9.53,2,93.9
214105,9,20,28,1253.71,2.29,2,22.8
214105,9,20,45,1540.99,2.82,2,180.9
214110,9,10,30,762.5,1.39,2,67.9
214105,9,44,25,2798.29,5.13,2,20.6
214105,9,44,25,1821.32,3.37,2,20.6
214110,9,44,25,1520,2.78,2,4.9
214110,9,44,30,2037.53,3.73,2,9.9
214105,9,44,25,2236.36,4.1,2,20.6
214105,9,44,24,1271,2.32,2,20.1
214105,9,44,35,5808.92,10.66,2,54.8
214105,9,36,41,3355.01,6.16,2,44.9
214105,9,24,29,1468.47,2.69,2,3.9
214105,9,44,31,5146.04,9.46,2,70.9
214125,9,35,54,4037.2,7.41,2,103.8
214125,9,35,29,4054.24,7.45,2,51.9
214125,9,35,30,4077.6,7.49,2,77.4
214105,9,44,46,2792.84,5.12,2,191.5
214105,9,44,35,2117.87,3.88,2,8.8
214105,9,44,42,3955.89,7.26,2,185.7
214125,9,40,29,3113.45,5.71,2,69.9
214125,9,20,25,2195.26,4.02,2,7.7
214125,9,20,26,2654.51,4.87,2,17.9
214105,9,30,40,9024.99,16.58,2,105.5
214105,9,30,30,1820.02,3.33,2,24.9
214105,9,30,47,11716.49,21.52,2,286.8
214105,9,30,54,8259.22,15.17,2,93.5
214105,9,44,32,4047.31,7.43,2,17.9
214105,9,44,38,4456.88,8.18,2,121.9
214105,9,30,31,6321.15,11.6,2,37.6
214105,9,30,51,13130.4,24.12,2,285.3
214105,9,40,29,4891.66,8.98,2,44.7
214110,9,20,30,2220,4.07,2,125.9
214105,9,30,55,1858.66,3.41,2,98.3
214105,9,40,33,2606.74,4.78,2,11.9
214105,9,44,37,2294.02,4.2,2,10.7
214105,9,44,42,2485.46,4.56,2,25.2
214105,9,20,29,3655.82,6.71,2,27.9
214105,9,35,37,2920.74,5.36,2,58.4
214105,9,30,28,3355.11,6.16,2,27.4
214115,9,30,29,3355.83,6.16,2,54.8
214105,9,40,31,4343.56,7.97,2,35.6
214105,9,40,46,3847.15,7.06,2,227.9
214105,9,40,28,4513.57,8.28,2,19.6
214105,9,40,29,4569.27,8.39,2,33.9
214105,9,40,28,3452.85,6.33,2,1
214105,9,40,28,4495,8.25,2,32.9
214105,9,40,53,5707.37,10.48,2,173
214125,9,35,28,4452.13,8.17,2,44.7
214125,9,35,39,3162.63,5.8,2,10.9
214125,9,35,24,3460.41,6.34,2,2.9
214125,9,35,32,4671.76,8.58,2,46.9
214125,9,40,31,4734.55,8.69,2,71.1
214105,9,44,32,6329.59,11.62,2,100.3
214125,9,44,41,4284.11,7.86,2,219
214105,9,30,27,3206.93,5.88,2,22.2
214125,9,44,32,2619.01,4.8,2,3.8
214125,9,44,47,2717.77,4.99,2,21.9
214125,9,44,28,2619.01,4.8,2,7.7
214105,9,40,32,4093.7,7.51,2,42.3
214105,9,40,52,3668.61,6.73,2,271.9
214105,9,40,48,1589.6,2.91,2,7.1
214105,9,44,57,9100.55,16.71,2,295.5
214105,9,30,34,4809.67,8.83,2,117.9
214105,9,44,36,7563.77,13.89,2,124.9
214105,9,44,36,5750.39,10.55,2,69.4
214105,9,40,35,3262.08,5.99,2,99.6
214105,9,44,40,6232.1,11.44,2,114.1
214125,9,40,37,2742.23,5.03,2,61.9
214125,9,30,32,2981.96,5.47,2,72.7
